feature_set,metric,loss_type,neg_strategy,n_runs,success_rate_detections_%_mean,success_rate_objects_%_mean,mAP_standard_mean,mAP_fair_mean,total_detections_mean,total_objects_mean,cmc_rank1_mean,cmc_rank5_mean,cmc_rank10_mean,success_rate_detections_%_std,success_rate_objects_%_std,mAP_standard_std,mAP_fair_std,total_detections_std,total_objects_std,cmc_rank1_std,cmc_rank5_std,cmc_rank10_std
concat_feature,attention_similarity,ce,n/a,3,56.58914728682171,28.076923076923077,0.7632134204713896,0.5878806076603946,129.0,260.0,0.5703125,0.7786458333333334,0.8385416666666666,1.2658861719809713,0.6280742930213277,0.007542942016539561,0.005810103985712968,0.0,0.0,0.01275775907699572,0.009743899444723819,0.009743899444723803
concat_feature,attention_similarity,triplet,hard,3,1.8087855297157625,0.8974358974358974,0.09404740964398917,0.07244192364469437,129.0,260.0,0.018229166666666668,0.078125,0.13802083333333334,0.9668365340501142,0.4796996649710181,0.005183600861364729,0.003992773636456634,0.0,0.0,0.009743899444723805,0.02780489128133154,0.03513212907091677
concat_feature,attention_similarity,triplet,random,3,39.79328165374677,19.74358974358974,0.5827844927262884,0.4489015687216004,129.0,260.0,0.4010416666666667,0.6822916666666666,0.796875,1.8271493053915964,0.9065471553673675,0.019634496124685485,0.015123868636582088,0.0,0.0,0.018414239093399683,0.013278696649981199,0.011048543456039806
concat_feature,attention_similarity,triplet,semi-hard,3,50.64599483204134,25.128205128205128,0.67756763938691,0.5219102087169442,129.0,260.0,0.5104166666666666,0.7291666666666666,0.8020833333333334,2.034627357625788,1.0094881889758751,0.020751884465305348,0.01598455965570821,0.0,0.0,0.02050522883857242,0.020505228838572417,0.025779934730759548
concat_feature,attention_similarity,triplet,topk_stochastic,3,55.8139534883721,27.692307692307693,0.7546918290112975,0.5813166791032967,129.0,260.0,0.5625,0.7760416666666666,0.8255208333333334,1.6746099995885975,0.830864192103571,0.006978709336146251,0.005375492326490981,0.0,0.0,0.016876928902103804,0.01948779888944762,0.007365695637359857
concat_feature,attention_similarity,triplet_schedule,n/a,3,58.91472868217054,29.23076923076923,0.7720471888976967,0.5946849968536312,129.0,260.0,0.59375,0.7734375,0.8645833333333334,0.6329430859904835,0.3140371465106653,0.010659947007565632,0.008211040262584355,0.0,0.0,0.00637887953849786,0.00637887953849786,0.009743899444723796
concat_feature,cosine_similarity,n/a,n/a,3,39.53488372093023,19.615384615384617,0.4504213865679503,0.346946203167205,129.0,260.0,0.3984375,0.5390625,0.6171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feature,attention_similarity,ce,n/a,3,58.91472868217054,29.23076923076923,0.7489735732678661,0.5769120767063293,129.0,260.0,0.59375,0.78125,0.8255208333333334,1.0962895832349526,0.5439282932204226,0.0038557692175337052,0.002969984397289393,0.0,0.0,0.011048543456039806,0.011048543456039806,0.003682847818679948
feature,attention_similarity,triplet,hard,3,2.0671834625323,1.0256410256410255,0.13350801360246825,0.10283725372082014,129.0,260.0,0.020833333333333332,0.08072916666666667,0.125,0.7308597221566383,0.36261886214694733,0.034395227531716775,0.026493621206862925,0.0,0.0,0.00736569563735987,0.0036828478186799333,0.019136638615493577
feature,attention_similarity,triplet,random,3,45.21963824289406,22.43589743589744,0.5947537597432072,0.45812113926165954,129.0,260.0,0.4557291666666667,0.6380208333333334,0.7630208333333334,2.222823066419283,1.1028622137234128,0.027569258261175535,0.021235780011986494,0.0,0.0,0.022401888716256833,0.02577993473075954,0.014731391274719733
feature,attention_similarity,triplet,semi-hard,3,52.45478036175711,26.025641025641022,0.6689545168685597,0.5152757765068635,129.0,260.0,0.5286458333333334,0.7395833333333334,0.7916666666666666,1.317576101703563,0.6537204504606153,0.009585333133827468,0.0073832971436239014,0.0,0.0,0.013278696649981199,0.013278696649981199,0.016053161466065054
feature,attention_similarity,triplet,topk_stochastic,3,57.10594315245478,28.333333333333332,0.7445442601199321,0.5735003084707586,129.0,260.0,0.5755208333333334,0.7526041666666666,0.8229166666666666,1.4617194443132748,0.725237724293894,0.01179352316340219,0.009084200274512576,0.0,0.0,0.014731391274719733,0.020505228838572438,0.003682847818679948
feature,attention_similarity,triplet_schedule,n/a,3,59.43152454780361,29.48717948717949,0.7467616337374693,0.575208285446429,129.0,260.0,0.5989583333333334,0.7682291666666666,0.8333333333333334,0.36542986107831305,0.1813094310734716,0.012650270322086448,0.009744127139985561,0.0,0.0,0.0036828478186799285,0.007365695637359877,0.0036828478186799285
feature,cosine_similarity,n/a,n/a,3,41.08527131782946,20.384615384615383,0.4938317649294792,0.3803839270402745,129.0,260.0,0.4140625,0.5859375,0.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geom_feature,attention_similarity,ce,n/a,3,4.909560723514212,2.435897435897436,0.13180919758258136,0.10152870624604238,129.0,260.0,0.049479166666666664,0.18489583333333334,0.2760416666666667,0.7308597221566386,0.36261886214694744,0.0010659477550458319,0.0008210678653731726,0.0,0.0,0.00736569563735987,0.0036828478186799333,0.0036828478186799385
geom_feature,attention_similarity,triplet,hard,3,0.2583979328165375,0.1282051282051282,0.07994687747657032,0.061580702921142004,129.0,260.0,0.0026041666666666665,0.057291666666666664,0.1171875,0.3654298610783191,0.1813094310734737,0.0030936272722636737,0.002382929115121984,0.0,0.0,0.003682847818679935,0.016053161466065044,0.00637887953849786
geom_feature,attention_similarity,triplet,random,3,3.359173126614987,1.6666666666666667,0.12182238745362063,0.0938361633088699,129.0,260.0,0.033854166666666664,0.1171875,0.17708333333333334,0.365429861078319,0.1813094310734739,0.002977844539737764,0.0022937451184466724,0.0,0.0,0.0036828478186799346,0.0,0.007365695637359872
geom_feature,attention_similarity,triplet,semi-hard,3,5.426356589147287,2.692307692307692,0.09635229675039218,0.07421730965908584,129.0,260.0,0.0546875,0.15885416666666666,0.25,1.6746099995885944,0.8308641921035719,0.0072037091832558185,0.005548803019534941,0.0,0.0,0.016876928902103804,0.009743899444723808,0.00637887953849786
geom_feature,attention_similarity,triplet,topk_stochastic,3,1.8087855297157625,0.8974358974358975,0.08682757453195483,0.06688069930164087,129.0,260.0,0.018229166666666668,0.08854166666666667,0.171875,0.3654298610783191,0.18130943107347378,0.006184944512022879,0.004764078880882491,0.0,0.0,0.0036828478186799346,0.020505228838572424,0.035516098169234
geom_feature,attention_similarity,triplet_schedule,n/a,3,3.10077519379845,1.5384615384615383,0.10129180279570231,0.07802206431560847,129.0,260.0,0.03125,0.09375,0.15885416666666666,0.0,0.0,0.006053690420206178,0.004662977756104762,0.0,0.0,0.0,0.00637887953849786,0.009743899444723805
geom_feature,cosine_similarity,n/a,n/a,3,5.426356589147287,2.692307692307692,0.14762715562996,0.11371280906632049,129.0,260.0,0.0546875,0.1484375,0.2578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
